149	189	zsghjlez    wlgxltkruylouplwfvpxfyhsepotejoetiacfh
288	54	syuozmoe	fctfiquambybpcvhuxbzahrqecjunqroieosyo
257	104	ijaqleqy	skpkkcuenlhspdlgkpyvfwvcqvuninmyxaofmg
283	121	ceopipdu	opjmceekhhlyypeyexwjuecbustpwoyjntmwpf
305	38	oaplkuci	wyywqzqypdocfelujyzyuxeqwhcusobdkloefh
260	77	xkthbxtd	chepuhfagzmyjfkcshyohmwrsuciaajgnxbojo
219	100	ytxmzpsl	lwulgnvonqomhnnmewwsnazomnumodagujmzur
432	199	gkpzenyg	toqvxitqljvaqvmivslkxywnspzryohomwtzhy
36	13	aysfxavq	zktocmeifdmmzpajdxnpjsxzupnjwixcvsuesp
471	58	ubqgpqsk	qkkiwepdcxcgmwshrbkvjofmiweenivfnzuekd
419	198	qywwfsgo	cgzhttdxndybxkbtqrxhdjaqppvpzurjtkseat
480	100	mtisvopw	vmgtdjqzaflpqscuckjjkwzlsoysbqamcoxlat
222	50	xtmaoztc	cdubolrgwcgjmocvjyictmnwexgvgijyekzixu
128	190	ywebcszb	jqbgbogxybsluxvgvhakerdujggtzcvesowtcv
230	198	beqznsbs	zrqhfkpqocttsarhsxommdbohlqgfiipaqnwkv
467	198	lrbxtgkb	konqlkepkzctwgxgrpdsrqspbtqfkyokjqjtpk
163	109	mlwcvgxy	iwoppxuqnthkjjtyhgclhnytbwclhxzttaklbc
320	104	fsgbpmjd	josekjnoptvzvqsrcajzojmrqhooxfdzmlsjno
228	124	uilnijjz	zrliougvfqpyhhugtrafaqikyvajtviuglrcnt
8	175	innzfmet	vvhufbvqdrytfywrxyzdnrsumrwznnjrwukkgw
469	46	dsrqzfaw	ozjvumpcujjnneiwyjebkfcqqveygutrtxsddb
491	184	agewtazw	imjkizzkucvfzwofugsmxoztbbaeyfrmbumcde
400	0	jggmzxnu	nsyajcuzwgdxfhzpsuhrbjkiihfuhjfrmuevfr
404	30	bnxiesxi	urzesgcsjqmdiqblbbwvfestrzjptwihvxjfcz
371	54	qcznssji	goyjzkjtxtdmcfbqqgvussalyiplrngdytncab
144	70	ykjeithq	pzswiporijanqjsufrbihtagnujaryxotjlxka
99	77	eakrgoaf	gjrtwkekuvqtkwuvfsebpugzyjqhtgxhpouewj
343	175	gvebstbl	kbiraegxwdfiaxkaqhaintdbfbpvmgnxquuitx
407	182	zxiyoeeg	aobvlbvffifxnqkhxnnecwcyghqprvdmscxcou
98	34	bkmzpiud	mdeeltumsvxtgpsrlzjxgjsvwblcluptagpbqk
392	123	lbbzxfzy	txzoutpslqdcnbjjawykvgunorlmbmfmksxaqi
74	89	byovqfpl	ktfzjakvryhwbngvyeuvpxwpxbuqbqadjsaxwm
483	50	twvhfagl	rflrhxazsyshklzxqplxrikgsnixeavtioerhz
32	150	dhmjcnsh	yaeftopqlxfmxextczlnducjlefqyqtfbvklwt
478	21	hwslwvir	gottxcpgouxmiywvwifgfcpexdbclqqvxucozy
248	118	pdszefur	fnvvtvejyulmusnokorerlfsksvdderhxyklgk
85	57	pxubpobr	luunngosoabvgctkryxjqsbxxscbvwffbfndty
428	85	neikvhmm	jrnchnlffzkehftmutngtbmkazkylddzjraldj
59	138	acfczcqj	mdwzhavvjzoonlgaefvwaehljepxkhjrezbndm
271	143	czsxnjtm	wtcnsjhwfdwlnvmsmmlmdayjijpwqllkropjgc
325	68	zjrzsusl	ydykzvfxvvvpcihiwxhwjmtwkossykpvtegdrs
87	72	thsuggif	gejrfiicmomnvgnagrbuvvohtgpbayjymvbybp
34	35	qqqbrfev	qbibivliyorpdsxdmlxdbjoyoguuenkbwxakkx
405	36	jmcxxzfh	xsupkvhbeauasvfcvzdwezwujpucmgsvemmemv
427	19	bmqpdcmv	kyfxhxmvswoiwjuaizrskrjrfulxrhibxuczte
196	95	vicwrnua	ynabuzzqiabcijicrsxgnsjegfafxtmhvigjop
259	127	ljumgjox	sedhuaraiujbgurybupzcexkjlciprujpvuggp
496	165	hgoatade	qxaecvrpizizemhsidnfkpasozijnlgsymfomx
105	0	phoaxhtg	nghzejuleuvsbprbehnappzzdjnanavlkvicvk
9	111	zwmhlvrm	vbzoynoxergpzcnouttdoxqoidllmdnirygegh
71	68	ppkkmtml	boulalyrghhgbtisjhrevusrwxdnixqzxpdanm
227	7	jguiauyz	gueuchkjwcniafrasqfwierragkmeqwbhltwgn
302	43	dmdlcmsy	pvlhgearyoqfaffjzdbalxnwotpvbafxfbgfxt
115	181	zkcedzns	aidlnacpgsyugavzjwpcijfzsckjjbvibejlor
455	87	iltmzpdl	rscjoddpwpqrouoiwqhzudshkoqhhjdrywqscq
493	23	pymzpiab	jqwtgiidonezhivwrdamgupadzfukpgrqrxkip
362	94	ykorpccg	dkfujveqignntslnptnryhwybbwkcwfuqrjsiy
410	34	xyxymshh	nhcrjlqlfoxbbzqeyiakrfrpyyqtwgqricpksg
220	86	upeoicyk	vryzfptzfaszppcezmtkdbitebshsjvvuqsapj
112	74	woxblqhi	ehnmahkizzmzeptcpdikdljlooirvsvfpysnsz
321	34	lrlbxdbl	qkplmqgmiznoongejwwvxinuwscpfgzygcqhho
231	68	jfgzrdxm	utgfeemwnovpdhlmnxwxyiajhxyamvuhwortny
430	150	xbvmoddf	tmlckvblcdvtibztdimxoinsjytfiftxjxmaks
488	117	cocjaewr	klghurabirokmgpzlywyssqvqedfiafleacfwn
449	126	gltqlvdw	hakxjyzobjjfxifnytdtkrsftgkyxduuyfnpmn
177	127	mpznccup	kjrxfqpapgowphgpoemowdoidknyajytlkznyd
332	126	cpmbgmlo	lqirvushescthkhjaxkhbkzievpttrbrxhtfkv
192	80	fxrnfonn	rmewhdpcxsuogefgfposqsuczbpotaflopgcpj
494	98	ywnenkfa	gmoclfoywozeftvvjgloipckznpxwhnqfwbeub
136	74	iqebjsxv	upehzactgfffawdcmzkdbkmecvjxtgflqwsfct
6	166	nmtbzncg	xntxlbqosagikvivzqbbwrbgrjytzajoiadhdv
251	176	zadvlsey	ghbrlreroimdprreqqasllesbmixqmhdvllrtr
234	91	sgzuusra	megnagpnkgkohhemfhhoflqjoikldubefghill
297	111	thsffrom	gobnawyqqzwnbypgfiuwpokkqtebcedxpfryys
490	100	nwakbmmv	hqspdaalvfsunalhutqosegaorckwnzadliquv
82	80	wptlwcmg	cwvxthblpbwudugveaocfmgkefclmcjbjpqoqy
402	20	kaxfzjzm	qhelrkdjmidkrifcylpapmdpzmastwvjeuxoxj
461	103	oulnfykj	ezkxkngggxxwzfcucposoqsqgodxbqcbdgfxky
159	88	ddjfcedk	gjlgoydedgrpqpcytismztrjkzeisaorqnokal
185	78	ccpvhdoe	qukktgplgnhkejdvslsrmdgrzlqwvyyoslckox
235	194	kgvhqhhf	mxuqnludejlhducmzigdayuycdsevufyeebvzm
12	67	zbwwyboc	bsmawwmhliezdrdxmwjzhyaqxbyiqumfiksfot
40	128	cnicxaik	qbakwtgjepvlgzsgenapqvttbjraugwltvxopm
479	165	kaazzggr	sxvmdgdndfoqiwfzdafdmvckqyvpgizgvynspn
468	61	fjnrpyld	cxtzhmsshsvuiyhhngxkoxsofthmqalsxzklei
435	84	etwwskbg	dpzioexcitlvogptzgrywufdxdnynsjegbkmwo
291	191	pvhztmud	agfokzgcldmazzlningstttnykzcxtyfgljlvn
131	157	tmhbpwom	boslztshiiajjwrmwuosdnbngoaneeyyljxyag
482	1	bmpnvhmh	psagypuzpblnhkaoieltwhazuzmnrvkhwclnco
370	128	qyzumeyk	vabwacwdewfifknoqmupdurhywnwhqtucmioae
463	198	lxflaohh	ezerpnluoqzadazywfxvsbzrulvqafllfpfoad
125	111	tfeegmwi	cndnfqacfqhjbtandmhhrzzdulkqsusrkkztwm
118	191	nnuvxzam	rgbutzezvohuskorqezxvogaampdnqtvjiwxra
20	170	corgflho	grctzjyejztjycktrhylyuaobsdkphzlpcmbta
55	103	qcdynedb	gybcnncprrzanpyzwwivhxzwhgadziejgvijdr
76	110	nyidpqjz	kmphobqwvklchunxrmanvzzqonoperswxtslzj
333	157	ojsxdaab	ejhjxfqwultkibwuwcjygkvdfkdehivxfgbwqp
361	193	ynkfytae	drnmgrrtiwuyyukhyqkyfleibhuzbscwodptvf
364	19	ndyvpima	fdsyjviwfdrpywychfdkvvglmcifpdkzegnhmf
135	175	petuidvw	zrqljmqnwwqkjocrtwkqnyfinowkqjdlkckxev
338	192	mgihawdo	oibecgaatxxhkyokupdscmgbrgfaqrmqijuzob
418	99	wloicqwo	thvetvwiggfqhmvcbzplljmnvrguazfyfafofe
186	131	jcvjkfto	sspsaldygyigpvoocoiualzqlhcsnatttqqrdf
120	9	tskzduwz	tcehlqidzpbosbcffbotnrrtvepkyyrfcrmymk
282	150	ndzubtqh	zeobpsomawyqfvdleozsrbybtcshulzptmhvxu
69	125	jqznlzmp	ofryswjnoyqqdnlscxmajmhvbwhscoysdorphx
30	182	majcbbbs	bniicbboaezvnfoysueuvwblkrpaisapxxlgct
60	139	zuriswld	djaaswgavlnxeytnvazqfaeknwesfvrblgkmsz
190	86	piiohjas	hdthvozrjwfxwlfwrejnfouxznqcjznacqtqey
237	56	ispfeouq	qjvwbscrvzsjbwivajrgmhgqvtjnfihlvqhdei
387	146	zkagxyxn	pzhgzlhfzbfatnmzsbizdzmhhilnrzxibxilqg
466	64	htzoxfcs	ntqwegfjkwxlzbmmfnwrcarbquposicibqznpd
94	163	eqfizdvo	xqqyibzqzfmlsmlvqevczagbetkunmkksgsnfy
281	26	psxgbyun	qybzgmcbgkalhxsjznnrlnnouyzxvppoioxmnx
