Cart.cartid  Customer.cid  Customer.gender  
8	175	0	
491	184	0	
343	175	0	
496	165	1	
479	165	1	
135	175	0	
225	167	0	
394	164	1	
324	168	1	
198	168	1	
420	175	0	
183	187	1	
39	197	1	
330	156	1	
143	179	0	
485	179	0	
306	164	1	
115	181	0	
235	194	0	
361	193	1	
338	192	0	
153	183	1	
173	186	1	
84	159	1	
25	193	1	
236	181	0	
458	193	1	
375	181	0	
258	194	0	
337	192	0	
286	186	1	
388	194	0	
372	181	0	
424	192	0	
149	189	0	
419	198	1	
230	198	1	
467	198	1	
407	182	0	
251	176	1	
291	191	1	
131	157	0	
463	198	1	
118	191	1	
20	170	0	
333	157	0	
30	182	0	
94	163	0	
78	158	1	
164	191	1	
64	158	1	
474	189	0	
289	195	0	
448	191	1	
129	185	1	
244	162	0	
97	160	1	
368	178	1	
358	151	1	
16	173	0	
215	178	1	
58	155	1
========= Repeated B
432	199	0	
128	190	1	
6	166	1	
151	166	1	
100	152	1	
495	152	1	
486	199	0	
67	154	1	
130	154	1	
425	166	1	
133	196	0
========= End Repeated B
========= Repeated B'
432	199	0	
128	190	1	
6	166	1	
151	166	1	
100	152	1	
495	152	1	
486	199	0	
67	154	1	
130	154	1	
425	166	1	
133	196	0
========= End Repeated B'
472	165	1
13	197	1	
398	184	0	
124	165	1	
86	168	1	
172	179	0	
492	165	1	
110	197	1	
184	197	1	
160	164	1	
205	169	0	
293	174	0	
156	184	0	
95	164	1	
421	172	0	
450	172	0	
104	183	1	
50	193	1	
17	181	0	
489	155	1	
462	163	0	
284	170	0	
385	195	0	
42	151	1	
242	157	0	
249	163	0	
1	158	1	
422	178	1	
475	163	0	
47	170	0	
399	162	0	
315	151	1	
223	162	0	
80	198	1	
309	151	1	
444	185	1
========= Repeated A
272	177	1	
347	154	1	
141	161	1	
10	161	1	
354	196	0	
199	166	1	
270	154	1
========= End Repeated A
========= Repeated A'
272	177	1	
347	154	1	
141	161	1	
10	161	1	
354	196	0	
199	166	1	
270	154	1
========= End Repeated A'
